Date,Player,Club Name,Brand/Model,Club Type,Club Speed,Attack Angle,Club Path,Club Face,Face to Path,Ball Speed,Smash Factor,Launch Angle,Launch Direction,Backspin,Sidespin,Spin Rate,Spin Rate Type,Spin Axis,Apex Height,Carry Distance,Carry Deviation Angle,Carry Deviation Distance,Total Distance,Total Deviation Angle,Total Deviation Distance,Target Total Distance,Target Carry Distance,Note,Tag,Air Density,Temperature,Air Pressure,Relative Humidity,Back Stroke Length,Target Backswing Time,Target Downswing Time,Forward Stroke Length,Backswing Time,Downswing Time,Target Tempo,Swing Tempo
,,,,,[km/h],[deg],[deg],[deg],[deg],[km/h],,[deg],[deg],[rpm],[rpm],[rpm],,[deg],[m],[Yards],[deg],[Yards],[Yards],[deg],[Yards],[Yards],[Yards],,,[g/L],[deg F],[kPa],[%],[Inches],[sec],[sec],[Inches],[sec],[sec],,
4/23/26 5:13:16 PM,Jamie F,,,9 Iron,79.77593617925105,4.56,1.96,8.95,6.989999999999999,104.14791778029858,1.3055054289339252,20.190000534057617,7.599999904632568,2955.447265625,-381.7477111816406,2980.0,Estimated,7.360000133514404,6.840000152587891,66.89632345685183,8.899999618530273,10.345581843992752,87.82808131954697,8.779999732971191,13.407699287928518,,,,,1.1618384,77.0,99.77,28,,,,,881.0,326.0,,2.700000047683716
4/23/26 5:13:38 PM,Jamie F,,,9 Iron,75.3119397504482,7.81,-3.32,6.28,9.6,100.11591798465818,1.3293498788691387,24.350000381469727,4.75,2987.254150390625,-515.9884033203125,3031.489990234375,Estimated,9.800000190734863,8.449999809265137,66.67760413462722,6.570000171661377,7.622484459964622,81.25547140393462,5.650000095367432,8.005249531563186,,,,,1.1618384,77.0,99.77,28,,,,,1068.0,319.0,,3.299999952316284
4/23/26 5:13:55 PM,Jamie F,,,9 Iron,87.76792978565616,9.87,-3.35,6.86,10.21,113.939907474783,1.2981952263548102,23.790000915527344,5.21999979019165,2706.4150390625,-639.2705688476562,2780.889892578125,Estimated,13.289999961853027,10.859999656677246,83.45362812619614,8.109999656677246,11.767279340421956,92.7165340980937,8.09000015258789,13.057742323253828,,,,,1.1618384,77.0,99.77,28,,,,,1042.0,241.0,,4.300000190734863
4/23/26 5:14:10 PM,Jamie F,,,9 Iron,83.84393292485365,7.63,-3.52,2.89,6.41,100.87192095041244,1.2030914752152715,28.520000457763672,1.940000057220459,3553.25439453125,-389.1446228027344,3574.5,Estimated,6.25,11.1899995803833,70.37401407931003,3.3299999237060547,4.090113746212536,80.09623563404367,3.440000057220459,4.811898616981006,,,,,1.1618384,77.0,99.77,28,,,,,980.0,261.0,,3.799999952316284
4/23/26 5:14:37 PM,Jamie F,,,9 Iron,79.30793655365075,6.59,-5.55,-4.01,1.54,95.07592338994488,1.1988197842674584,28.110000610351562,-3.9800000190734863,3662.630615234375,-105.50535583496094,3664.14990234375,Estimated,1.649999976158142,9.640000343322754,63.29833887589155,-3.640000104904175,-4.024497010889329,71.55511844398052,0.11999999731779099,0.1531058624191234,,,,,1.1618384,77.0,99.77,28,,,,,1216.0,283.0,,4.300000190734863
4/23/26 5:15:20 PM,Jamie F,,,9 Iron,81.50393479685216,7.59,-5.3,-0.62,4.68,99.0719223904113,1.2155477233994554,19.860000610351562,-1.1799999475479126,2618.046630859375,-285.7979431152344,2633.60009765625,Estimated,6.230000019073486,5.860000133514404,61.08923951263294,-0.1899999976158142,-0.2077865240767872,85.14873207606252,1.2000000476837158,1.793525793629577,,,,,1.1618384,77.0,99.77,28,,,,,1033.0,272.0,,3.799999952316284
4/23/26 5:15:35 PM,Jamie F,,,9 Iron,75.45593963524828,7.18,-3.58,2.09,5.67,94.93192707569857,1.2581107270626621,21.040000915527344,1.2699999809265137,2801.237060546875,-310.7441101074219,2818.419921875,Estimated,6.329999923706055,5.880000114440918,56.95538257989358,2.259999990463257,2.241907209444755,80.18372670037644,2.2200000286102295,3.1058616734135076,,,,,1.1618384,77.0,99.77,28,,,,,1158.0,313.0,,3.700000047683716
4/23/26 5:15:52 PM,Jamie F,,,9 Iron,78.69593704325035,2.69,-11.32,0.15,11.47,72.71994457062637,0.9240622489908259,15.0,-1.2899999618530273,3102.2890625,-671.305419921875,3174.090087890625,Estimated,12.210000038146973,1.7400000095367432,27.099738283733057,-0.27000001072883606,-0.1312335928672255,49.69378677461612,0.12999999523162842,0.10936133146338159,,,,,1.1618384,77.0,99.77,28,,,,,1049.0,248.0,,4.199999809265137
4/23/26 5:16:09 PM,Jamie F,,,9 Iron,79.77593617925105,4.2,-3.65,-16.11,-12.459999999999999,84.63593311522811,1.0609205879459311,28.049999237060547,-13.6899995803833,4292.24609375,681.3610229492188,4345.990234375,Estimated,-9.020000457763672,7.46999979019165,49.05949323091816,-15.279999732971191,-12.93744523589901,64.47943906875837,-16.6200008392334,-18.43832087746234,,,,,1.1618384,77.0,99.77,28,,,,,1152.0,273.0,,4.199999809265137
4/23/26 5:16:25 PM,Jamie F,,,9 Iron,83.7719329824536,,9.17,14.12,4.949999999999999,64.54794946027324,0.7705199959250443,5.96999979019165,12.75,2810.340087890625,-254.27737426757812,2821.820068359375,Estimated,5.170000076293945,0.2199999988079071,9.437882889808527,12.890000343322754,2.110673608429476,37.937443817485764,8.470000267028809,5.588364100518815,,,,,1.1618384,77.0,99.77,28,,,,,1002.9999999999999,322.0,,3.0999999046325684
4/23/26 5:16:37 PM,Jamie F,,,9 Iron,90.57592753925796,6.99,-8.26,-11.68,-3.42,101.84392182076097,1.1244038519684953,34.34000015258789,-10.630000114440918,4412.07275390625,182.60646057128906,4415.85009765625,Estimated,-2.369999885559082,15.09000015258789,70.18810182105838,-11.260000228881836,-13.702974336145223,73.74234504065593,-12.84000015258789,-16.382326708482424,,,,,1.1618384,77.0,99.77,28,,,,,795.0,226.0,,3.5
4/23/26 5:17:08 PM,Jamie F,,,9 Iron,67.17594625924299,9.25,-6.88,-5.42,1.46,79.1639358448767,1.1784565793739639,30.030000686645508,-5.309999942779541,3367.299072265625,-89.9401626586914,3368.5,Estimated,1.5299999713897705,7.090000152587891,45.72397350534888,-5.070000171661377,-4.035433133443196,59.42694679854319,-1.6299999952316284,-1.6841644377220335,,,,,1.1618384,77.0,99.77,28,,,,,879.0,330.0,,2.700000047683716
4/23/26 5:17:21 PM,Jamie F,,,9 Iron,67.28394617284306,9.37,-7.32,-5.66,1.6600000000000001,86.29192849453337,1.282503976102434,24.260000228881836,-5.559999942779541,2887.787353515625,-100.3391342163086,2889.530029296875,Estimated,1.9900000095367432,5.989999771118164,49.79221213833866,-5.28000020980835,-4.58223978261205,66.10892471887517,-2.4100000858306885,-2.777777736059741,,,,,1.1618384,77.0,99.77,28,,,,,877.0,326.0,,2.700000047683716
4/23/26 5:17:34 PM,Jamie F,,,9 Iron,71.24394300484559,8.98,-5.35,-4.98,0.3699999999999992,88.16392864488246,1.2374936721130958,33.5,-4.760000228881836,3624.45068359375,-36.058589935302734,3624.6298828125,Estimated,0.5699999928474426,10.600000381469727,56.802273213811226,-4.639999866485596,-4.5931756444281895,67.5196868749637,-2.950000047683716,-3.477690361720475,,,,,1.1618384,77.0,99.77,28,,,,,807.0,310.0,,2.5999999046325684
4/23/26 5:17:45 PM,Jamie F,,,9 Iron,61.19995104003916,,-6.26,-4.47,1.79,75.81593742464263,1.2388234979966108,33.75,-4.460000038146973,4729.30029296875,-93.2844009399414,4730.22021484375,Estimated,1.1299999952316284,7.860000133514404,42.72747123230995,-4.260000228881836,-3.171478669474444,51.410759319262034,-1.690000057220459,-1.52012246904515,,,,,1.1618384,77.0,99.77,28,,,,,826.0,381.0,,2.200000047683716
4/23/26 5:17:55 PM,Jamie F,,,9 Iron,70.84794332164533,,-4.59,1.5,6.09,81.14393838074773,1.1453252497727309,31.6200008392334,0.6600000262260437,5059.7119140625,-315.6704406738281,5069.5498046875,Estimated,3.569999933242798,8.260000228881836,47.878388866247676,1.3300000429153442,1.1154855434454436,58.333333500205484,-1.75,-1.7825896710757092,,,,,1.1618384,77.0,99.77,28,,,,,920.0,325.0,,2.799999952316284
